STREET,CITY,STATE,ZIPCODE,CHARGERID,NUM_OF_CHARGERS,LAT,LONG,LAT_OVERRIDE,LONG_OVERRIDE
11 Spring Street,Newburgh,NY,12550,"NBG01, NBG02",2,41.496385,-74.01174,,
52 Hemenway St.,Boston,MA,2115,"BOS08, BOS07",2,42.34509,-71.089256,,
52 Monument Ave,Boston,MA,2129,BOS09,1,42.375166,-71.061752,,
4 Huntoon St,Boston,MA,2124,BOS06,1,42.2721,-71.065,,
105 Ann Street,Newburgh,NY,12550,"NBG03, NBG04",2,41.499055,-74.011769,,
11 Lonsdale Street,Boston,MA,2124,BOS03,1,42.289948,-71.062452,,
41 Iffley Rd.,Boston,MA,2130,BOS04,1,42.312183,-71.099415,,
156 Savin Hill Ave,Boston,MA,2125,BOS05,1,42.310241,-71.051397,,
15 Washington St.,Brooklyn,NY,11205,"STEINER01, STEINER02, STEINER03, ---, ---, ---",3,40.703503,-73.989561,,
1701 W Lafayette Blvd,Detroit,MI,48216,"DT04, DT05",2,42.323721,-83.065626,42.323957,-83.065786
1358 Abbott St.,Detroit,MI,48226,"DT01, DT02",2,42.328223,-83.062571,,
13301 Mound Rd.,Detroit,MI,48212,DT03,1,42.414948,-83.043482,42.415062,-83.043475
19 Morris Ave,Brooklyn,NY,11205,"NYC02, NYC01",2,40.698863,-73.975029,,
8 Gay Head St,Boston,MA,2130,BOS02,1,42.323317,-71.105455,,
12 Colgate Rd,Boston,MA,2131,BOS01,1,42.293496,-71.121468,,
55 Fillmore St,San Francisco,CA,94117,"SF01, SF02",2,37.76992,-122.430369,37.770167,-122.430316
Governors Island / Building 135,New York,NY,10004,NYC11,1,40.68617,-74.020983,,
Governors Island / Building 104,New York,NY,10004,NYC12,1,40.68617,-74.020983,,
Governors Island / Building 333,New York,NY,10004,NYC13,1,40.68617,-74.020983,,
Governors Island / Building 928,New York,NY,10004,NYC14,1,40.68617,-74.020983,,
1 Hancock St,Portland,ME,4101,PDM01,1,43.6605,-70.247149,,
"2050 15th St, Detroit, MI",Detroit,MI,48216,NEWLAB-DT01,1,42.328332,-83.075643,42.328806,-83.076202
10 South St.,New York,NY,10004,NYC10,1,40.70107,-74.011923,,
2477 Eagle Ave,Alameda,CA,94501,"ALA02, ALA01",2,37.768315,-122.237207,37.76826,-122.23741
629 South Harvard Blvd.,Los Angeles,CA,90005,"LA01, LA02, LA03, LA04, LA05",5,34.06242,-118.30428,34.0627,-118.30435
1640 Columbia Rd NW,Washington,DC,20009,,2,38.92527,-77.03813,,
1800 Bd. Lionel-Boulet,Varennes,QC,,VAR01,1,45.621247,-73.379284,,
